,sellprice,symbol,selltime,qty,sl,strike,tp,buyprice,buytime,reason,pnl
59,292.45,BANKNIFTY07JAN2131000PE,2021-01-05 09:22:00,25,286.601,31000,301.2235,286.601,2021-01-05 09:23:00,SL HIT,-146.22499999999974
60,278.95,BANKNIFTY07JAN2131000CE,2021-01-05 09:24:00,25,284.529,31000,270.5815,284.529,2021-01-05 09:25:00,SL HIT,-139.4750000000002
61,284.05,BANKNIFTY07JAN2131000PE,2021-01-05 09:24:00,25,278.369,31000,292.5715,278.369,2021-01-05 09:25:00,SL HIT,-142.02499999999958
62,292.7,BANKNIFTY07JAN2131000CE,2021-01-05 09:26:00,25,298.554,31000,283.919,298.554,2021-01-05 09:27:00,SL HIT,-146.34999999999962
63,264.4,BANKNIFTY07JAN2131000PE,2021-01-05 09:26:00,25,259.11199999999997,31000,272.332,259.11199999999997,2021-01-05 09:27:00,SL HIT,-132.20000000000027
64,258.0,BANKNIFTY07JAN2131100CE,2021-01-05 09:28:00,25,263.16,31100,250.26,263.16,2021-01-05 09:29:00,SL HIT,-129.00000000000063
65,295.0,BANKNIFTY07JAN2131100CE,2021-01-05 09:30:00,25,300.9,31100,286.15,300.9,2021-01-05 09:31:00,SL HIT,-147.49999999999943
66,277.0,BANKNIFTY07JAN2131100PE,2021-01-05 09:30:00,25,271.46,31100,285.31,271.46,2021-01-05 09:31:00,SL HIT,-138.5000000000005
67,308.2,BANKNIFTY07JAN2131100CE,2021-01-05 09:32:00,25,314.364,31100,298.954,298.954,2021-01-05 09:33:00,TP HIT,231.14999999999952
68,266.25,BANKNIFTY07JAN2131100PE,2021-01-05 09:32:00,25,260.925,31100,274.2375,258.2625,2021-01-05 09:33:00,TP HIT,199.68750000000028
69,306.0,BANKNIFTY07JAN2131100CE,2021-01-05 09:34:00,25,312.12,31100,296.82,296.82,2021-01-05 09:36:00,TP HIT,229.50000000000017
70,266.25,BANKNIFTY07JAN2131100PE,2021-01-05 09:34:00,25,260.925,31100,274.2375,258.2625,2021-01-05 09:36:00,TP HIT,199.68750000000028
71,260.45,BANKNIFTY07JAN2131200CE,2021-01-05 09:37:00,25,265.659,31200,252.63649999999998,252.63649999999998,2021-01-05 09:38:00,TP HIT,195.33750000000012
72,255.9,BANKNIFTY07JAN2131200CE,2021-01-05 09:39:00,25,261.01800000000003,31200,248.223,261.01800000000003,2021-01-05 09:40:00,SL HIT,-127.95000000000059
73,308.8,BANKNIFTY07JAN2131200PE,2021-01-05 09:39:00,25,302.624,31200,318.064,302.624,2021-01-05 09:40:00,SL HIT,-154.3999999999997
74,261.0,BANKNIFTY07JAN2131100PE,2021-01-05 09:41:00,25,255.78,31100,268.83,253.17,2021-01-05 09:43:00,TP HIT,195.7500000000003
